"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","NRO_ENCUESTA","ORDEN","P6016","P6020","P6040","P6051","P5502","P6071","P6071S1","P6074","P767","P6076","P6076S1","P6076S2","P6077","P6096","P6081","P6081S1","P6087","P6083","P6083S1","P6088","P6080","P5667","LLAVEHOG","FEX_C","N_HIJOS","N_NIETOS"
"5010317","3","1","592","3","3","2","20","3","1","1","4","1",,,,,,,"2",,"10","1","1",,"1","720_01","50103171","439.527905168535",NULL,NULL
"5010317","4","1","592","4","4","1","24","8","1","1","3","1",,,,,,,"2",,"9","2",,"2","1","720_01","50103171","439.527905168535",NULL,NULL
"5010317","5","1","592","5","3","2","3","4",,,,"1",,,,,,,"1","4",,"1","3",,"6",,"50103171","439.527905168535",NULL,NULL
"5010317","6","1","592","6","3","2","0","4",,,,"1",,,,,,,"1","4",,"1","3",,"6",,"50103171","439.527905168535",NULL,NULL
"5010317","7","1","592","7","1","1","13","9","5",,,"1",,,,,,,"2",,"10","3",,"1","6",,"50103171","439.527905168535",NULL,NULL
"5010323","1","1","592","1","1","2","62","1","3",,,"1",,,,,,,"2",,"10","1","7",,"5",,"50103231","148.455668262694","3","2"
"5010323","2","1","592","2","2","2","45","3","5",,,"2","7","2","44","44001","1","1","3",,"2","1","1",,"5",,"50103231","148.455668262694",NULL,NULL
"5010323","3","1","592","3","3","1","39","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50103231","148.455668262694",NULL,NULL
"5010323","4","1","592","4","4","2","47","3","4",,,"2","1","1",,,,,"3",,"10","1","1",,"5",,"50103231","148.455668262694",NULL,NULL
"5010323","5","1","592","5","5","2","32","4","4",,,"2","3","2","47","47720","1","10","3",,"10","1","4",,"6",,"50103231","148.455668262694",NULL,NULL
"5010323","6","1","592","6","4","2","16","4","5",,,"2","1","1",,,,,"2",,"4","1","4",,"5",,"50103231","148.455668262694",NULL,NULL
"5010323","7","1","592","7","7","2","81","5","4",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50103231","148.455668262694",NULL,NULL
"5010323","8","1","592","8","8","1","20","9","5",,,"1",,,,,,,"2",,"4","3",,"2","6",,"50103231","148.455668262694",NULL,NULL
"5010323","9","1","592","9","2","1","7","9",,,,"2","5","2","47","47980","1","10","2",,"10","3",,"2","5",,"50103231","148.455668262694",NULL,NULL
"5010323","10","1","592","10","5","1","11","9","5",,,"2","3","2","47","47720","1","9","2",,"4","1","5",,"6",,"50103231","148.455668262694",NULL,NULL
"5010323","11","1","592","11","11","1","42","14","5",,,"1",,,,,,,"2",,"10","2",,"10","6",,"50103231","148.455668262694",NULL,NULL
"5010326","1","1","592","1","1","2","69","1","3",,,"2","30","2","13","13244","1","8","3",,"9","3",,"9","6",,"50103261","225.626773171445","1","2"
"5010326","2","1","592","2","1","2","16","3","5",,,"1",,,,,,,"3",,"9","1","1",,"1","720_01","50103261","225.626773171445",NULL,NULL
"5010326","3","1","592","3","3","1","25","4","5",,,"1",,,,,,,"2",,"2","3",,"2","6",,"50103261","225.626773171445",NULL,NULL
"5010326","4","1","592","4","4","1","22","4","5",,,"1",,,,,,,"2",,"1","2",,"4","1","720_01","50103261","225.626773171445",NULL,NULL
"5010332","1","1","592","1","1","2","85","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50103321","204.740374691037","2",NULL
"5010332","2","1","592","2","2","1","45","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50103321","204.740374691037",NULL,NULL
"5010332","3","1","592","3","3","1","42","3","5",,,"1",,,,,,,"3",,"10","1","1",,"6",,"50103321","204.740374691037",NULL,NULL
"5010333","1","1","592","1","1","2","49","1","3",,,"1",,,,,,,"3",,"4","2",,"9","1","720_01","50103331","429.204604134307","3","3"
"5010333","2","1","592","2","2","1","22","3","5",,,"1",,,,,,,"3",,"1","1","1",,"1","720_01","50103331","429.204604134307",NULL,NULL
"5010333","3","1","592","3","3","2","21","3","4",,,"1",,,,,,,"3",,"1","1","1",,"1","720_01","50103331","429.204604134307",NULL,NULL
"5010333","4","1","592","4","3","1","6","4",,,,"1",,,,,,,"2",,"2","1","3",,"1","720_01","50103331","429.204604134307",NULL,NULL
"5010333","5","1","592","5","3","1","4","4",,,,"1",,,,,,,"2",,"4","1","3",,"1","720_01","50103331","429.204604134307",NULL,NULL
"5010333","6","1","592","6","3","1","2","4",,,,"1",,,,,,,"2",,"4","1","3",,"1","720_01","50103331","429.204604134307",NULL,NULL
"5010333","7","1","592","7","7","2","17","3","4",,,"1",,,,,,,"3",,"1","1","1",,"1","720_01","50103331","429.204604134307",NULL,NULL
"5010333","8","1","592","8","8","1","15","9","5",,,"1",,,,,,,"2",,"1","2",,"9","1","720_01","50103331","429.204604134307",NULL,NULL
"5010356","1","1","592","1","1","2","45","1","5",,,"2","6","2","13","13001","1","9","2",,"10","2",,"10","6",,"50103561","19.5037051155663","1","1"
"5010356","2","1","592","2","2","2","27","3","2","1","3","2","0","2","13","13001","1","9","2",,"10","1","1",,"6",,"50103561","19.5037051155663",NULL,NULL
"5010356","3","1","592","3","3","1","29","8","2","1","2","2","0","1",,,,,"2",,"3","2",,"3","5",,"50103561","19.5037051155663",NULL,NULL
"5010356","4","1","592","4","4","2","3","4",,,,"2","0","2","13","13001","1","9","1","3",,"1","2",,"6",,"50103561","19.5037051155663",NULL,NULL
"5010388","1","1","592","1","1","2","25","1","5",,,"1",,,,,,,"2",,"2","2",,"3","5",,"50103881","25.8667058235462","1",NULL
"5010388","2","1","592","2","1","2","2","3",,,,"1",,,,,,,"2",,"3","1","1",,"5",,"50103881","25.8667058235462",NULL,NULL
"5010413","1","1","592","1","1","2","45","1","5",,,"1",,,,,,,"2",,"9","2",,"10","6",,"50104131","1371.38446291791","3",NULL
"5010413","2","1","592","2","2","1","19","3","5",,,"1",,,,,,,"2",,"9","1","1",,"6",,"50104131","1371.38446291791",NULL,NULL
"5010413","3","1","592","3","3","2","15","3","5",,,"1",,,,,,,"2",,"9","1","1",,"6",,"50104131","1371.38446291791",NULL,NULL
"5010413","4","1","592","4","4","1","9","3",,,,"1",,,,,,,"2",,"9","1","1",,"6",,"50104131","1371.38446291791",NULL,NULL
"5010417","1","1","592","1","1","2","84","1","3",,,"1",,,,,,,"3",,"1","2",,"1","6",,"50104171","1126.53864288244","2","1"
"5010417","2","1","592","2","2","2","62","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50104171","1126.53864288244",NULL,NULL
"5010417","3","1","592","3","3","1","54","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50104171","1126.53864288244",NULL,NULL
"5010417","4","1","592","4","4","1","15","4","5",,,"1",,,,,,,"2",,"4","2",,"8","6",,"50104171","1126.53864288244",NULL,NULL
"5010425","1","1","592","1","1","2","44","1","5",,,"1",,,,,,,"3",,"2","2",,"8","6",,"50104251","1592.37345308772","2",NULL
"5010425","2","1","592","2","1","1","14","3","5",,,"1",,,,,,,"3",,"8","1","1",,"6",,"50104251","1592.37345308772",NULL,NULL
"5010425","3","1","592","3","1","2","3","3",,,,"1",,,,,,,"2",,"8","1","1",,"6",,"50104251","1592.37345308772",NULL,NULL
"5010455","1","1","592","1","1","2","34","1","5",,,"1",,,,,,,"3",,"10","2",,"4","6",,"50104551","1690.8860106125","5",NULL
"5010455","2","1","592","2","2","2","14","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50104551","1690.8860106125",NULL,NULL
"5010455","3","1","592","3","3","1","12","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50104551","1690.8860106125",NULL,NULL
"5010455","4","1","592","4","4","1","11","3","5",,,"1",,,,,,,"2",,"10","1","1",,"6",,"50104551","1690.8860106125",NULL,NULL
"5010455","5","1","592","5","5","1","10","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50104551","1690.8860106125",NULL,NULL
"5010455","6","1","592","6","6","2","8","3",,,,"1",,,,,,,"2",,"10","1","1",,"6",,"50104551","1690.8860106125",NULL,NULL
"5010459","1","1","592","1","1","2","49","1","5",,,"1",,,,,,,"2",,"10","2",,"1","5",,"50104591","1420.68297415806","1",NULL
"5010459","2","1","592","2","2","2","22","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50104591","1420.68297415806",NULL,NULL
"5010471","1","1","592","1","1","2","42","1","5",,,"1",,,,,,,"2",,"1","2",,"1","6",,"50104711","1472.2951306128","2",NULL
"5010471","2","1","592","2","2","2","15","3","5",,,"1",,,,,,,"2",,"3","1","1",,"6",,"50104711","1472.2951306128",NULL,NULL
"5010471","3","1","592","3","3","1","13","3","5",,,"1",,,,,,,"2",,"1","1","1",,"6",,"50104711","1472.2951306128",NULL,NULL
"5010471","4","1","592","4","4","2","24","14","5",,,"1",,,,,,,"2",,"3","2",,"6","6",,"50104711","1472.2951306128",NULL,NULL
"5010476","1","1","592","1","1","2","34","1","5",,,"2","3","2","76","76364","1","1","2",,"10","2",,"2","5",,"50104761","1067.47002546358","1",NULL
"5010476","2","1","592","2","2","1","14","3","5",,,"2","3","2","76","76364","1","9","2",,"10","1","1",,"5",,"50104761","1067.47002546358",NULL,NULL
"5010476","3","1","592","3","3","2","13","9","5",,,"2","3","2","76","76364","1","9","2",,"10","2",,"1","5",,"50104761","1067.47002546358",NULL,NULL
"5010478","1","1","592","1","1","2","77","1","3",,,"1",,,,,,,"2",,"9","2",,"1","6",,"50104781","1220.15629691571","1",NULL
"5010478","2","1","592","2","2","1","43","3","4",,,"1",,,,,,,"2",,"9","2",,"1","6",,"50104781","1220.15629691571",NULL,NULL
"5010488","1","1","592","1","1","2","58","1","5",,,"1",,,,,,,"3",,"10","3",,"9","6",,"50104881","1220.15629691571","1",NULL
"5010488","2","1","592","2","2","1","35","3","5",,,"1",,,,,,,"2",,"10","1","1",,"6",,"50104881","1220.15629691571",NULL,NULL
"5010492","1","1","592","1","1","2","79","1","5",,,"1",,,,,,,"3",,"10","3",,"10","6",,"50104921","950.878653448603","2",NULL
"5010492","2","1","592","2","2","2","57","3","5",,,"1",,,,,,,"3",,"10","1","1",,"6",,"50104921","950.878653448603",NULL,NULL
"5010492","3","1","592","3","3","1","13","3","5",,,"1",,,,,,,"2",,"2","1","2",,"6",,"50104921","950.878653448603",NULL,NULL
"5010511","1","1","592","1","1","2","90","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50105111","293.33357098272","3",NULL
"5010511","2","1","592","2","2","1","58","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105111","293.33357098272",NULL,NULL
"5010511","3","1","592","3","3","1","63","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105111","293.33357098272",NULL,NULL
"5010511","4","1","592","4","4","1","61","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105111","293.33357098272",NULL,NULL
"5010512","1","1","592","1","1","2","68","1","3",,,"1",,,,,,,"3",,"10","3",,"2","6",,"50105121","474.323850676139","1","2"
"5010512","2","1","592","2","2","1","47","8","6","1","3","1",,,,,,,"2",,"1","2",,"3","6",,"50105121","474.323850676139",NULL,NULL
"5010512","3","1","592","3","3","2","47","3","6","1","2","1",,,,,,,"2",,"2","1","1",,"6",,"50105121","474.323850676139",NULL,NULL
"5010512","4","1","592","4","4","2","17","4","5",,,"1",,,,,,,"1","2",,"1","3",,"6",,"50105121","474.323850676139",NULL,NULL
"5010512","5","1","592","5","5","1","16","4","5",,,"1",,,,,,,"1","2",,"1","3",,"6",,"50105121","474.323850676139",NULL,NULL
"5010521","1","1","592","1","1","2","79","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50105211","293.33357098272","4",NULL
"5010521","2","1","592","2","2","1","56","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105211","293.33357098272",NULL,NULL
"5010521","3","1","592","3","3","1","57","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105211","293.33357098272",NULL,NULL
"5010521","4","1","592","4","4","1","55","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105211","293.33357098272",NULL,NULL
"5010521","5","1","592","5","5","2","52","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50105211","293.33357098272",NULL,NULL
"5010530","1","1","592","1","1","2","30","1","5",,,"1",,,,,,,"3",,"9","2",,"9","6",,"50105301","531.923063920036","1",NULL
"5010530","2","1","592","2","2","2","13","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50105301","531.923063920036",NULL,NULL
"5010535","1","1","592","1","1","2","53","1","5",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50105351","531.923063920036","1",NULL
"5010535","2","1","592","2","2","2","17","3","5",,,"1",,,,,,,"2",,"1","1","1",,"1","470_01","50105351","531.923063920036",NULL,NULL
"5010553","1","1","592","1","1","2","52","1","3",,,"1",,,,,,,"2",,"1","2",,"1","6",,"50105531","917.094759595229","4",NULL
"5010553","2","1","592","2","2","1","23","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50105531","917.094759595229",NULL,NULL
"5010553","3","1","592","3","3","2","19","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50105531","917.094759595229",NULL,NULL
"5010553","4","1","592","4","4","2","16","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50105531","917.094759595229",NULL,NULL
"5010553","5","1","592","5","5","2","14","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50105531","917.094759595229",NULL,NULL
"5010595","1","1","592","1","1","2","37","1","3",,,"1",,,,,,,"2",,"2","2",,"4","6",,"50105951","506.992348135121","1",NULL
"5010595","2","1","592","2","2","2","12","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50105951","506.992348135121",NULL,NULL
"5010641","1","1","592","1","1","2","56","1","5",,,"1",,,,,,,"3",,"2","1","3",,"6",,"50106411","1290.92671037746","1",NULL
"5010641","2","1","592","2","2","1","23","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50106411","1290.92671037746",NULL,NULL
"5010641","3","1","592","3","3","2","82","5","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50106411","1290.92671037746",NULL,NULL
"5010641","4","1","592","4","4","2","59","7","4",,,"1",,,,,,,"3",,"2","1","3",,"6",,"50106411","1290.92671037746",NULL,NULL
"5010692","1","1","592","1","1","2","38","1","5",,,"1",,,,,,,"3",,"1","1","3",,"6",,"50106921","313.56446823712","1",NULL
"5010692","2","1","592","2","2","2","19","3","2","2",,"1",,,,,,,"2",,"4","1","1",,"6",,"50106921","313.56446823712",NULL,NULL
"5010692","3","1","592","3","3","2","64","5","3",,,"1",,,,,,,"3",,"2","3",,"2","6",,"50106921","313.56446823712",NULL,NULL
"5010694","1","1","592","1","1","2","66","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50106941","769.710896495617","3","3"
"5010694","2","1","592","2","2","1","35","3","5",,,"1",,,,,,,"3",,"10","1","1",,"6",,"50106941","769.710896495617",NULL,NULL
"5010694","3","1","592","3","3","2","37","3","5",,,"1",,,,,,,"3",,"10","1","1",,"6",,"50106941","769.710896495617",NULL,NULL
"5010694","4","1","592","4","2","1","8","4",,,,"1",,,,,,,"2",,"2","1","3",,"6",,"50106941","769.710896495617",NULL,NULL
"5010694","5","1","592","5","5","2","34","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50106941","769.710896495617",NULL,NULL
"5010694","6","1","592","6","5","2","11","4","5",,,"1",,,,,,,"3",,"4","1","5",,"6",,"50106941","769.710896495617",NULL,NULL
"5010694","7","1","592","7","7","1","22","4","5",,,"1",,,,,,,"2",,"4","2",,"4","6",,"50106941","769.710896495617",NULL,NULL
"5010697","1","1","592","1","1","2","76","1","3",,,"2","30","2","54","54518","1","6","3",,"1","3",,"1","6",,"50106971","351.327238270149","2",NULL
"5010697","2","1","592","2","1","2","50","3","5",,,"2","30","2","54","54518","1","9","3",,"1","1","1",,"6",,"50106971","351.327238270149",NULL,NULL
"5010697","3","1","592","3","3","1","45","3","5",,,"2","30","2","54","54518","1","9","3",,"1","1","1",,"6",,"50106971","351.327238270149",NULL,NULL
"5010697","4","1","592","4","4","1","50","12","5",,,"1",,,,,,,"2",,"10","2",,"10","6",,"50106971","351.327238270149",NULL,NULL
"5010707","1","1","592","1","1","2","81","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50107071","451.16996041451","1","1"
"5010707","2","1","592","2","2","1","41","3","4",,,"1",,,,,,,"2",,"1","1","1",,"6",,"50107071","451.16996041451",NULL,NULL
"5010707","3","1","592","3","3","1","21","4","5",,,"1",,,,,,,"1","2",,"2",,"1","6",,"50107071","451.16996041451",NULL,NULL
"5010709","1","1","592","1","1","2","54","1","3",,,"1",,,,,,,"2",,"1","2",,"1","6",,"50107091","196.636670376672","1","1"
"5010709","2","1","592","2","2","1","25","3","4",,,"1",,,,,,,"2",,"1","1","1",,"6",,"50107091","196.636670376672",NULL,NULL
"5010709","3","1","592","3","2","1","5","4",,,,"1",,,,,,,"1","2",,"2",,"1","6",,"50107091","196.636670376672",NULL,NULL
"5010711","1","1","592","1","1","2","52","1","5",,,"2","10","1",,,,,"2",,"9","3",,"1","6",,"50107111","677.106292654728","1","2"
"5010711","2","1","592","2","1","1","14","3","5",,,"2","10","1",,,,,"2",,"9","1","1",,"6",,"50107111","677.106292654728",NULL,NULL
"5010711","3","1","592","3","1","1","5","4",,,,"2","0","1",,,,,"2",,"1","2",,"2","6",,"50107111","677.106292654728",NULL,NULL
"5010711","4","1","592","4","1","1","3","4",,,,"2","0","1",,,,,"2",,"2","2",,"1","6",,"50107111","677.106292654728",NULL,NULL
"5010717","1","1","592","1","1","2","35","1","5",,,"1",,,,,,,"2",,"1","1","3",,"6",,"50107171","1937.69363753693","1",NULL
"5010717","2","1","592","2","3","1","11","3","5",,,"1",,,,,,,"2",,"2","1","1",,"6",,"50107171","1937.69363753693",NULL,NULL
"5010717","3","1","592","3","3","2","54","5","5",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50107171","1937.69363753693",NULL,NULL
"5010722","1","1","592","1","1","2","76","1","3",,,"1",,,,,,,"3",,"10","3",,"10","6",,"50107221","1989.82642334343","3","1"
"5010722","2","1","592","2","2","2","48","3","5",,,"1",,,,,,,"3",,"10","1","1",,"6",,"50107221","1989.82642334343",NULL,NULL
"5010722","3","1","592","3","3","2","46","3","2","1","5","1",,,,,,,"3",,"10","1","1",,"6",,"50107221","1989.82642334343",NULL,NULL
"5010722","4","1","592","4","4","1","40","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50107221","1989.82642334343",NULL,NULL
"5010722","5","1","592","5","5","1","36","8","2","1","3","1",,,,,,,"3",,"10","2",,"10","6",,"50107221","1989.82642334343",NULL,NULL
"5010722","6","1","592","6","6","1","14","4","5",,,"1",,,,,,,"1","5",,"1","3",,"6",,"50107221","1989.82642334343",NULL,NULL
"5010735","1","1","592","1","1","2","29","1","3",,,"2","11","2","11","11001","1","7","2",,"1","2",,"9","5",,"50107351","2150.627383521","2",NULL
"5010735","2","1","592","2","1","1","12","3","5",,,"2","11","2","11","11001","1","9","3",,"4","1","1",,"5",,"50107351","2150.627383521",NULL,NULL
"5010735","3","1","592","3","1","1","9","3",,,,"1",,,,,,,"3",,"4","1","1",,"5",,"50107351","2150.627383521",NULL,NULL
"5010745","1","1","592","1","1","2","37","1","5",,,"1",,,,,,,"3",,"2","2",,"2","6",,"50107451","1935.48190697981","3",NULL
"5010745","2","1","592","2","2","1","19","3","5",,,"1",,,,,,,"2",,"2","1","1",,"6",,"50107451","1935.48190697981",NULL,NULL
"5010745","3","1","592","3","3","1","16","3","5",,,"1",,,,,,,"2",,"3","1","1",,"5",,"50107451","1935.48190697981",NULL,NULL
"5010745","4","1","592","4","4","1","13","3","5",,,"1",,,,,,,"2",,"3","1","1",,"5",,"50107451","1935.48190697981",NULL,NULL
"5010761","1","3","592","1","1","2","38","1","3",,,"2","0","2","19","19698","2","3","3",,"10","2",,"2","5",,"50107613","2005.39295336959","1",NULL
"5010761","2","3","592","2","2","1","8","3",,,,"2","0","2","19","19698","2","9","3",,"2","1","1",,"5",,"50107613","2005.39295336959",NULL,NULL
"5010769","1","1","592","1","1","2","35","1","5",,,"1",,,,,,,"3",,"1","2",,"2","6",,"50107691","352.469069672742","1",NULL
"5010769","2","1","592","2","1","1","16","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50107691","352.469069672742",NULL,NULL
"5010775","1","1","592","1","1","2","63","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50107751","277.145619955446","1",NULL
"5010775","2","1","592","2","2","2","27","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50107751","277.145619955446",NULL,NULL
"5010776","1","1","592","1","1","2","81","1","3",,,"2","30","2","76","76616","1","8","3",,"10","3",,"10","6",,"50107761","290.15653702884","2",NULL
"5010776","2","1","592","2","2","2","59","3","5",,,"2","30","2","76","76616","2","9","3",,"1","1","1",,"6",,"50107761","290.15653702884",NULL,NULL
"5010776","3","1","592","3","3","1","46","3","4",,,"2","30","2","76","76616","2","9","3",,"1","1","1",,"6",,"50107761","290.15653702884",NULL,NULL
"5010791","1","1","592","1","1","2","54","1","3",,,"2","52","2","76","76377","2","9","3",,"4","2",,"2","6",,"50107911","657.468566798062","1",NULL
"5010791","2","1","592","2","2","2","21","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50107911","657.468566798062",NULL,NULL
"5010803","1","1","592","1","1","2","74","1","3",,,"1",,,,,,,"3",,"1","3",,"10","6",,"50108031","59.6014363227818","2",NULL
"5010803","2","1","592","2","2","2","36","3","4",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50108031","59.6014363227818",NULL,NULL
"5010803","3","1","592","3","2","2","5","3",,,,"1",,,,,,,"2",,"1","1","2",,"6",,"50108031","59.6014363227818",NULL,NULL
"5010803","4","1","592","4","1","1","80","7","5",,,"1",,,,,,,"3",,"1","3",,"10","6",,"50108031","59.6014363227818",NULL,NULL
"5010808","1","1","592","1","1","2","56","1","3",,,"2","10","2","76","76736","2","3","3",,"9","3",,"10","6",,"50108081","92.0059775708478","1",NULL
"5010808","2","1","592","2","2","1","19","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50108081","92.0059775708478",NULL,NULL
"5010820","1","1","592","1","1","2","62","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50108201","83.836521244122","1","2"
"5010820","2","1","592","2","2","2","36","3","4",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50108201","83.836521244122",NULL,NULL
"5010820","3","1","592","3","3","1","18","4","5",,,"1",,,,,,,"3",,"1","1","2",,"6",,"50108201","83.836521244122",NULL,NULL
"5010820","4","1","592","4","4","2","6","4",,,,"1",,,,,,,"2",,"4","1","2",,"6",,"50108201","83.836521244122",NULL,NULL
"5010858","1","1","592","1","1","2","40","1","5",,,"1",,,,,,,"2",,"4","1","3",,"6",,"50108581","139.226964155443","1",NULL
"5010858","2","1","592","2","2","1","18","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50108581","139.226964155443",NULL,NULL
"5010858","3","1","592","3","3","2","55","5","4",,,"1",,,,,,,"3",,"10","3",,"2","6",,"50108581","139.226964155443",NULL,NULL
"5010858","4","1","592","4","4","1","39","7","5",,,"1",,,,,,,"2",,"2","2",,"2","6",,"50108581","139.226964155443",NULL,NULL
"5010858","5","1","592","5","1","1","10","9","5",,,"1",,,,,,,"2",,"4","2",,"1","6",,"50108581","139.226964155443",NULL,NULL
"5010902","1","1","592","1","1","2","67","1","3",,,"1",,,,,,,"3",,"10","2",,"10","6",,"50109021","166.146785558712","2","1"
"5010902","2","1","592","2","2","1","39","3","2","2",,"1",,,,,,,"3",,"10","1","1",,"5",,"50109021","166.146785558712",NULL,NULL
"5010902","3","1","592","3","3","2","27","3","1","1","4","1",,,,,,,"3",,"10","1","1",,"6",,"50109021","166.146785558712",NULL,NULL
"5010902","4","1","592","4","4","1","34","8","1","1","3","2","2","2","76","76248","1","9","2",,"3","2",,"1","5",,"50109021","166.146785558712",NULL,NULL
"5010902","5","1","592","5","1","1","0","4",,,,"1",,,,,,,"1","4",,"1","3",,"6",,"50109021","166.146785558712",NULL,NULL
"5010902","6","1","592","6","6","1","18","9","5",,,"1",,,,,,,"3",,"3","2",,"3","6",,"50109021","166.146785558712",NULL,NULL
"5010902","7","1","592","7","7","1","56","14","5",,,"1",,,,,,,"3",,"10","3",,"10","6",,"50109021","166.146785558712",NULL,NULL
"5010902","8","1","592","8","1","2","12","9","5",,,"1",,,,,,,"2",,"3","2",,"4","6",,"50109021","166.146785558712",NULL,NULL
"5010902","9","1","592","9","1","1","11","14","5",,,"1",,,,,,,"2",,"2","2",,"4","6",,"50109021","166.146785558712",NULL,NULL
"5010964","1","2","592","1","1","2","61","1","3",,,"2","52","2","76","76736","2","9","3",,"2","3",,"2","1","999_01","50109642","258.657377773237","1","1"
"5010964","2","2","592","2","2","1","42","3","5",,,"1",,,,,,,"3",,"4","1","1",,"1","999_01","50109642","258.657377773237",NULL,NULL
"5010964","3","2","592","3","3","2","14","4","5",,,"1",,,,,,,"2",,"4","2",,"10","6",,"50109642","258.657377773237",NULL,NULL
"5010991","1","1","592","1","1","2","62","1","3",,,"2","14","2","76","76001","1","7","3",,"2","1","3",,"6",,"50109911","202.524658385646","1",NULL
"5010991","2","1","592","2","2","1","33","3","5",,,"2","14","2","76","76001","1","7","3",,"8","1","1",,"6",,"50109911","202.524658385646",NULL,NULL
"5010991","3","1","592","3","3","2","92","5","3",,,"2","14","2","76","76001","1","9","3",,"9","3",,"9","6",,"50109911","202.524658385646",NULL,NULL
"5011011","1","1","592","1","1","2","51","1","3",,,"2","20","2","50","50001","1","7","3",,"1","3",,"2","5",,"50110111","53.4253853895401","1",NULL
"5011011","2","1","592","2","2","2","27","3","2","1","3","2","20","2","50","50001","1","9","3",,"2","1","1",,"6",,"50110111","53.4253853895401",NULL,NULL
"5011011","3","1","592","3","3","1","43","8","2","1","2","1",,,,,,,"2",,"2","2",,"2","6",,"50110111","53.4253853895401",NULL,NULL
"5011037","1","1","592","1","1","2","82","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50110371","250.914937437058","2","1"
"5011037","2","1","592","2","2","1","55","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50110371","250.914937437058",NULL,NULL
"5011037","3","1","592","3","3","2","52","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50110371","250.914937437058",NULL,NULL
"5011037","4","1","592","4","2","1","1","4",,,,"1",,,,,,,"2",,"4","2",,"4","6",,"50110371","250.914937437058",NULL,NULL
"5011041","1","1","592","1","1","2","68","1","3",,,"1",,,,,,,"2",,"10","3",,"9","6",,"50110411","193.443244737153","1",NULL
"5011041","2","1","592","2","2","2","46","3","4",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50110411","193.443244737153",NULL,NULL
"5011050","1","1","592","1","1","2","82","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50110501","230.390420124448","2","3"
"5011050","2","1","592","2","2","1","43","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50110501","230.390420124448",NULL,NULL
"5011050","3","1","592","3","3","2","40","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50110501","230.390420124448",NULL,NULL
"5011050","4","1","592","4","4","1","23","4","5",,,"1",,,,,,,"2",,"3","1","3",,"6",,"50110501","230.390420124448",NULL,NULL
"5011050","5","1","592","5","1","1","16","4","5",,,"1",,,,,,,"2",,"3","1","3",,"6",,"50110501","230.390420124448",NULL,NULL
"5011050","6","1","592","6","1","2","13","4","5",,,"1",,,,,,,"2",,"4","1","3",,"6",,"50110501","230.390420124448",NULL,NULL
