DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6002418;1;1;1;1;3;2;69;1;3;;;2;54;2;5;5034;2;9;3;;9;3;;9;6;;10;1;3;6;8;10;10;0;0;10;60024181;135.1800911;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6002418;2;1;2;2;3;2;37;3;5;;;1;;;;;;;3;;9;1;1;;6;;10;7;10;10;10;8;7;4;0;10;60024181;135.1800911;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;1;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;1;;1;;;;
6002418;3;1;3;3;3;1;35;3;4;;;1;;;;;;;3;;9;1;1;;6;;10;9;10;10;10;10;10;0;0;10;60024181;135.1800911;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;1;;3;;;1;;;;;1;;1;;;;
6002420;1;1;1;1;3;2;82;1;3;;;1;;;;;;;3;;10;3;;10;6;;10;9;5;10;9;9;3;9;8;9;60024201;155.5014017;0;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;;1;;;
6002420;2;1;2;2;3;1;18;4;5;;;1;;;;;;;2;;1;3;;10;6;;8;8;9;10;9;8;8;2;1;8;60024201;155.5014017;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6002459;1;1;1;1;3;2;80;1;3;;;2;40;2;19;19001;1;5;3;;10;3;;10;6;;10;10;10;10;10;10;10;0;0;10;60024591;663.5501558;1;4;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6002459;2;1;2;2;3;1;45;3;1;1;3;1;;;;;;;3;;8;1;1;;5;;8;8;10;10;9;10;10;0;0;8;60024591;663.5501558;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;1;;;;1;;;;;;;;;;1;1;;;;;1;;;;1;2;1;;;;;1;;1;;1;1;;1;5;;;;;;
6002459;3;1;3;3;3;2;32;8;1;1;2;1;;;;;;;3;;10;2;;2;6;;10;1;8;4;8;9;10;10;10;10;60024591;663.5501558;0;0;1;5;5;;1;1;1;1;1;1;1;1;2;1;;1;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;1;5;;;;;;
6002459;4;1;4;2;2;2;17;4;5;;;1;;;;;;;1;2;;2;;4;5;;10;10;10;10;10;10;10;0;0;10;60024591;663.5501558;0;0;2;2;5;;1;1;1;1;2;1;1;1;2;1;;1;1;;1;;;;;;1;;1;;;;;;;1;1;1;;;1;;1;;;;1;2;1;;;;;1;;1;;1;1;;1;5;;;;;;
6002459;5;1;5;2;2;2;12;4;5;;;1;;;;;;;1;2;;2;;4;6;;;;;;;;;;;;60024591;663.5501558;0;0;5;2;5;;1;1;1;1;1;1;1;1;2;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;1;;1;;;;1;2;1;;;;;1;;1;;1;1;;1;5;;;;;;
6002459;6;1;6;2;2;1;12;4;5;;;1;;;;;;;1;2;;2;;4;5;;;;;;;;;;;;60024591;663.5501558;0;0;2;2;5;;1;1;1;1;2;1;1;2;2;1;;1;1;;1;;;;;;1;;1;;;;;;;1;1;1;;;1;;1;;;;1;2;1;;;;;1;;;;1;1;;;5;;;;;;
6002459;7;1;7;2;2;1;12;4;5;;;1;;;;;;;2;;10;1;3;;6;;;;;;;;;;;;60024591;663.5501558;0;0;5;2;5;;1;1;1;1;1;1;1;1;2;1;;;;;1;;;;;;1;;1;;;;;;;1;1;1;;;1;;1;;;;2;;;1;;;1;1;;1;;1;1;;;5;;;;;;
6002462;1;1;1;1;3;2;76;1;3;;;1;;;;;;;3;;10;3;;10;6;;5;7;4;9;9;10;9;0;0;7;60024621;543.9704354;0;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;1;;1;;;;
6002462;2;1;2;1;2;2;11;4;5;;;1;;;;;;;2;;10;2;;3;6;;;;;;;;;;;;60024621;543.9704354;0;0;2;2;5;;1;1;2;2;2;2;2;2;2;2;;;1;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;2;;;1;;;1;2;;1;;;;;;1;;1;;;;
6002484;1;1;1;1;3;2;76;1;3;;;2;10;2;76;76275;2;3;3;;1;3;;1;6;;9;8;7;8;8;9;8;0;1;9;60024841;490.4107748;1;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;3;;1;;;;
6002484;2;1;2;2;3;2;56;3;3;;;2;10;2;76;76275;2;3;3;;3;1;1;;6;;9;7;8;7;9;10;9;2;0;9;60024841;490.4107748;0;0;1;2;5;;1;1;1;1;1;1;1;2;2;1;;1;1;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;3;;1;;;;
6002484;3;1;3;3;3;1;22;4;5;;;2;10;2;76;76275;2;9;3;;1;1;2;;6;;7;9;5;6;3;8;7;7;3;8;60024841;490.4107748;0;0;5;1;5;;1;1;1;1;1;1;1;2;2;1;;;1;;1;;;;;;1;;;;;;;;;1;;1;;;;;;;1;;1;2;1;;;;;1;;1;;;1;;;2;;1;;;;
6002490;1;1;1;1;3;2;59;1;5;;;1;;;;;;;3;;10;3;;10;6;;9;9;9;9;6;8;8;2;0;8;60024901;718.2291739;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6002490;2;1;2;2;3;1;36;3;4;;;1;;;;;;;3;;10;1;1;;6;;10;0;9;0;2;10;10;1;0;8;60024901;718.2291739;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;1;;;
6002490;3;1;3;3;3;1;29;3;4;;;1;;;;;;;3;;10;1;1;;6;;10;8;10;10;10;10;10;0;0;10;60024901;718.2291739;0;0;1;5;5;;1;1;1;1;1;1;1;1;1;1;;1;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;1;;;
6002502;1;1;1;1;3;2;59;1;3;;;1;;;;;;;2;;2;3;;2;6;;9;8;9;8;8;8;8;0;0;10;60025021;486.5970834;1;2;3;3;5;;2;2;2;2;2;2;2;2;2;2;;;1;;1;;;;;;1;;;;;;;;;1;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;3;;1;;;;
6002502;2;1;2;2;3;2;33;3;6;2;;1;;;;;;;3;;5;1;1;;6;;8;9;8;8;8;8;9;0;0;10;60025021;486.5970834;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;4;;1;;;;
6002502;3;1;3;1;1;2;5;4;;;;1;;;;;;;2;;5;1;2;;6;;;;;;;;;;;;60025021;486.5970834;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;1;;2;;;1;;;1;1;;;;;1;;;5;;;;;;
6002502;4;1;4;2;1;2;0;4;;;;1;;;;;;;2;;6;1;2;;6;;;;;;;;;;;;60025021;486.5970834;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6002504;1;1;1;1;3;2;58;1;3;;;1;;;;;;;3;;10;2;;10;6;;8;8;8;8;8;5;5;5;5;9;60025041;462.9093223;1;0;5;2;5;;2;2;2;1;1;1;1;1;1;1;;;1;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6002504;2;1;2;2;3;2;24;3;5;;;1;;;;;;;2;;4;1;1;;6;;8;8;8;8;8;7;7;3;3;10;60025041;462.9093223;0;0;5;1;1;;1;1;1;1;1;1;1;1;1;1;;;1;1;1;;;;;;1;;1;;;1;1;;;1;1;1;;;1;1;1;1;1;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6002516;1;1;1;1;3;2;78;1;3;;;1;;;;;;;3;;10;3;;1;6;;9;9;7;1;7;8;8;1;8;9;60025161;693.3048361;0;3;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6002516;2;1;2;2;3;1;31;4;5;;;1;;;;;;;2;;4;2;;8;6;;10;9;8;9;8;8;8;1;1;8;60025161;693.3048361;0;0;5;1;5;;1;1;1;1;1;1;1;1;1;1;;;1;;1;;;;;;1;;1;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;2;;1;;;;
6002516;3;1;3;3;3;2;23;4;5;;;1;;;;;;;2;;8;2;;8;6;;10;6;10;10;10;10;10;0;0;10;60025161;693.3048361;0;0;5;1;5;;1;1;1;1;1;1;1;1;1;1;;;1;;1;;;;;;1;;1;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;1;;;
6002516;4;1;4;1;2;1;17;4;5;;;1;;;;;;;3;;8;2;;4;6;;8;8;9;9;9;8;8;2;2;8;60025161;693.3048361;0;0;5;2;5;;1;1;1;1;1;1;1;1;1;1;;;1;;1;;;;;;1;;1;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;1;;;
6002519;1;1;1;1;3;2;28;1;5;;;1;;;;;;;2;;3;2;;7;5;;7;3;8;7;8;9;9;2;0;9;60025191;364.6601875;1;0;3;5;5;;2;2;1;2;2;2;2;2;2;3;;1;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;2;;;1;;1;;2;;1;;;;;;5;;;;;;
6002519;2;1;2;1;1;1;4;3;;;;1;;;;;;;2;;4;1;1;;5;;;;;;;;;;;;60025191;364.6601875;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6002520;1;1;1;1;3;2;69;1;3;;;1;;;;;;;3;;1;3;;1;5;;7;9;6;7;4;6;8;8;5;7;60025201;820.0091089;2;4;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;;1;;;
6002520;2;1;2;2;3;2;36;3;2;1;3;1;;;;;;;3;;2;1;1;;5;;7;7;7;7;7;7;7;7;7;8;60025201;820.0091089;0;0;2;5;5;;1;1;1;2;1;1;1;2;2;2;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;1;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002520;3;1;3;3;3;1;37;8;2;1;2;1;;;;;;;2;;3;2;;2;5;;9;6;8;8;8;8;8;5;4;8;60025201;820.0091089;0;0;1;5;1;;1;1;1;1;1;1;1;1;1;1;;1;;;1;;;;;;;1;;;;1;;;;1;;;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002520;4;1;4;4;2;1;17;4;5;;;1;;;;;;;1;3;;1;2;;5;;9;9;9;9;2;8;8;0;0;10;60025201;820.0091089;0;0;2;5;5;;1;1;1;1;1;1;1;1;1;2;;1;;;1;;;;;;;;1;;;1;;;;;;1;;;1;;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6002520;5;1;5;5;1;2;6;4;;;;1;;;;;;;1;3;;1;2;;5;;;;;;;;;;;;60025201;820.0091089;0;0;5;5;2;;2;2;2;2;2;2;2;2;2;2;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;;2;;;1;;;1;2;;;;;;;1;5;;;;;;
6002520;6;1;6;6;3;1;34;3;2;1;7;1;;;;;;;3;;1;1;1;;5;;9;5;8;7;6;7;7;6;6;9;60025201;820.0091089;0;0;5;1;5;;1;1;1;1;1;1;1;1;1;1;;;1;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;1;2;1;;;;;1;;1;;;;;;5;;;;;;
6002520;7;1;7;7;3;2;26;8;2;1;6;1;;;;;;;2;;2;2;;2;5;;8;9;8;8;0;8;8;5;5;9;60025201;820.0091089;0;0;5;2;5;;1;2;1;2;2;2;2;2;2;2;;;1;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;;;;;;5;;;;;;
6002520;8;1;8;8;2;2;10;4;5;;;1;;;;;;;1;6;;1;7;;5;;;;;;;;;;;;60025201;820.0091089;0;0;5;5;2;;2;2;2;2;2;2;2;2;2;2;;;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6002520;9;1;9;9;1;1;1;4;;;;1;;;;;;;1;6;;1;7;;5;;;;;;;;;;;;60025201;820.0091089;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6002527;1;1;1;1;3;2;43;1;3;;;1;;;;;;;3;;8;2;;2;5;;5;5;8;8;5;5;5;5;6;10;60025271;451.8849959;1;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002527;2;1;2;1;2;1;10;3;5;;;1;;;;;;;3;;4;1;1;;5;;;;;;;;;;;;60025271;451.8849959;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;2;;;1;;;1;2;;;;;1;;;5;;;;;;
6002530;1;1;1;1;3;2;75;1;3;;;1;;;;;;;3;;1;3;;1;5;;8;6;7;8;8;7;7;4;5;8;60025301;389.7714723;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;1;;2;;1;;;;;;1;;1;1;;;
6002530;2;1;2;2;3;1;40;3;5;;;1;;;;;;;3;;2;1;1;;5;;7;9;8;8;7;7;7;6;7;6;60025301;389.7714723;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;1;;2;;1;;;;;;5;;;;;;
6002530;3;1;3;3;3;2;37;3;5;;;1;;;;;;;3;;2;1;1;;5;;9;9;10;8;8;9;9;3;3;9;60025301;389.7714723;0;0;2;5;5;;2;2;2;2;2;2;2;2;2;2;;1;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;1;2;;;1;;1;1;2;;1;;;;;;5;;;;;;
6002552;1;1;1;1;3;2;31;1;5;;;1;;;;;;;2;;2;2;;3;5;;9;5;10;10;5;7;10;0;0;9;60025521;423.3801641;1;0;1;5;5;;2;2;1;2;2;2;2;2;2;1;;;;;1;;;;;;1;1;;;;;1;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;;1;;;5;;;;;;
6002552;2;1;2;1;2;2;10;3;5;;;1;;;;;;;2;;4;1;1;;5;;;;;;;;;;;;60025521;423.3801641;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6002554;1;1;1;1;3;2;45;1;3;;;1;;;;;;;3;;10;2;;9;5;;5;0;3;5;0;1;2;10;10;8;60025541;333.7009114;2;0;5;5;5;;;;;;;;;;;2;;1;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;;;1;
6002554;2;1;2;1;2;2;16;3;5;;;1;;;;;;;2;;4;1;1;;5;;5;5;10;5;7;7;7;4;4;6;60025541;333.7009114;0;0;1;5;5;;1;1;1;2;2;2;2;2;2;1;;1;;;1;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002554;3;1;3;1;2;2;10;3;5;;;1;;;;;;;2;;4;1;1;;5;;;;;;;;;;;;60025541;333.7009114;0;0;2;5;5;;1;1;1;2;2;2;1;2;2;2;;1;;;1;;;;;;;;;;1;;;;;;;;;;1;;;;;;2;;;1;;;1;2;;;;;1;;;5;;;;;;
6002557;1;1;1;1;3;2;41;1;5;;;1;;;;;;;2;;10;2;;10;5;;10;5;7;8;9;10;8;0;0;10;60025571;429.38039;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;1;;1;;;;;;5;;;;;;
6002557;2;1;2;2;3;1;22;3;5;;;1;;;;;;;2;;10;1;1;;5;;7;9;7;7;0;6;8;0;0;7;60025571;429.38039;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;1;1;;;;;;;1;;;;;;1;1;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002557;3;1;3;1;2;2;13;3;5;;;1;;;;;;;2;;10;1;1;;5;;;;;;;;;;;;60025571;429.38039;0;0;5;5;5;;;;;;;;;;;2;;1;;;;;;;;;;;1;;;;;;;;1;1;;;1;;;;;;2;;;1;;;1;2;;1;;;;;;5;;;;;;
6002557;1;2;1;1;3;2;33;1;5;;;1;;;;;;;2;;10;2;;9;5;;7;8;6;5;4;6;7;4;0;3;60025572;429.38039;4;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002557;2;2;2;1;2;2;15;3;5;;;1;;;;;;;2;;10;1;1;;5;;9;1;8;10;4;5;7;3;9;10;60025572;429.38039;0;0;2;5;5;;1;1;1;1;1;1;1;1;1;2;;1;;;1;;;;;;;;1;;;;;;;;;1;;;1;;;;;;2;;;1;;1;1;2;;1;;;1;;;5;;;;;;
6002557;3;2;3;1;2;2;9;3;;;;1;;;;;;;2;;10;1;1;;5;;;;;;;;;;;;60025572;429.38039;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;1;;2;;1;;;;;;5;;;;;;
6002557;4;2;4;1;2;2;11;3;5;;;1;;;;;;;2;;10;1;1;;5;;;;;;;;;;;;60025572;429.38039;0;0;2;5;5;;2;2;1;2;2;2;2;1;2;2;;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6002557;5;2;5;1;1;1;3;3;;;;1;;;;;;;2;;10;1;1;;5;;;;;;;;;;;;60025572;429.38039;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6002558;1;1;1;1;3;2;26;1;5;;;1;;;;;;;2;;3;2;;4;5;;6;0;7;6;2;6;6;2;3;6;60025581;341.6574824;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6002558;2;1;2;1;5;2;1;3;;;;1;;;;;;;2;;4;1;1;;5;;;;;;;;;;;;60025581;341.6574824;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6002562;1;1;1;1;3;2;63;1;3;;;2;50;2;27;27361;1;9;3;;9;2;;10;5;;10;2;3;0;10;10;10;10;0;8;60025621;421.40495;1;3;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;5;;;;;;
6002562;2;1;2;2;3;2;39;3;5;;;1;;;;;;;3;;10;1;1;;5;;10;0;5;6;3;10;8;0;0;10;60025621;421.40495;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;;;1;;;1;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002562;3;1;3;2;2;1;13;4;5;;;1;;;;;;;2;;1;1;2;;5;;;;;;;;;;;;60025621;421.40495;0;0;2;5;2;;2;2;1;1;2;2;2;2;2;2;;1;;;;;;;;;;;1;;1;;;;;1;;1;;1;;;;1;;;2;;;1;;1;1;2;;1;;;;;;5;;;;;;
6002562;4;1;4;2;2;2;8;4;;;;1;;;;;;;2;;9;1;2;;5;;;;;;;;;;;;60025621;421.40495;0;0;2;5;5;;1;2;2;2;2;1;2;2;2;2;;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;2;;;1;;;1;2;;1;;;;;;5;;;;;;
6002562;5;1;5;1;1;1;5;4;;;;1;;;;;;;2;;3;2;;4;5;;;;;;;;;;;;60025621;421.40495;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6002577;1;1;1;1;3;2;44;1;3;;;1;;;;;;;2;;9;3;;9;6;;10;4;5;5;7;7;10;0;0;10;60025771;921.9021906;3;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002577;2;1;2;2;3;1;19;3;5;;;1;;;;;;;3;;1;1;1;;6;;8;9;7;8;0;8;8;9;0;9;60025771;921.9021906;0;0;5;1;5;;1;1;1;2;1;1;1;1;2;1;;;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6002577;3;1;3;3;2;1;17;3;5;;;1;;;;;;;3;;1;1;1;;6;;9;9;8;6;1;10;10;0;0;10;60025771;921.9021906;0;0;5;5;1;;1;1;1;1;1;1;1;1;1;1;;;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6002577;4;1;4;4;2;1;15;3;5;;;1;;;;;;;3;;1;1;1;;6;;10;9;10;7;1;7;10;0;0;10;60025771;921.9021906;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6002593;1;1;1;1;3;2;46;1;5;;;1;;;;;;;2;;1;2;;1;6;;9;8;8;8;8;8;9;8;8;8;60025931;356.2488638;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;2;;1;1;;;
6002593;2;1;2;2;3;1;25;3;5;;;1;;;;;;;2;;2;1;1;;6;;10;2;10;5;1;10;10;0;0;10;60025931;356.2488638;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;;;;
6002593;3;1;3;3;2;2;15;3;5;;;1;;;;;;;2;;1;1;1;;6;;10;9;10;6;0;10;10;0;0;10;60025931;356.2488638;0;0;2;5;5;;1;1;1;2;2;1;2;2;2;2;;;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;2;;1;;1;1;;;2;;1;;;;
6002606;1;1;1;1;3;2;31;1;5;;;2;15;2;52;52378;2;3;2;;10;2;;2;6;;6;3;8;7;4;5;5;8;2;10;60026061;1028.280962;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;5;;;;;;
6002606;2;1;2;1;1;1;3;3;;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60026061;1028.280962;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6002619;1;1;1;1;3;2;52;1;3;;;1;;;;;;;3;;1;3;;1;6;;10;0;1;10;0;10;8;6;0;10;60026191;1358.471449;2;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;1;;1;;;;
