DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6015252;1;1;1;1;3;2;48;1;5;;;1;;;;;;;2;;1;2;;1;6;;8;7;8;7;8;9;7;4;7;8;60152521;1629.906715;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6015252;2;1;2;2;3;2;25;3;5;;;1;;;;;;;2;;1;1;1;;6;;8;7;7;7;7;6;6;6;6;8;60152521;1629.906715;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;5;;;;;;
6015271;1;1;1;1;3;2;86;1;3;;;2;28;2;25;25297;1;9;3;;1;3;;1;6;;7;7;5;7;7;7;6;7;0;8;60152711;1725.207099;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;2;;1;;;;;;1;;1;1;;;
6015271;2;1;2;2;3;1;44;3;2;1;3;2;25;2;25;25297;1;8;2;;10;1;1;;6;;8;8;8;7;8;8;6;8;0;8;60152711;1725.207099;0;0;5;2;5;;1;1;1;1;1;1;1;1;1;2;;;1;;1;;;;;;1;1;;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;;;;
6015271;3;1;3;3;3;2;49;8;2;1;2;2;25;2;13;13688;2;1;3;;1;2;;1;6;;8;5;8;6;7;7;7;2;0;7;60152711;1725.207099;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;;;;
6015273;1;1;1;1;3;2;65;1;5;;;2;20;2;52;52001;1;8;3;;3;3;;2;6;;9;9;9;9;10;10;10;0;0;10;60152731;2059.193436;1;0;1;5;5;;1;1;1;1;1;2;2;2;2;1;;1;;;1;;;;;;1;1;;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;1;;;
6015273;2;1;2;2;3;1;44;3;5;;;2;20;2;52;52001;1;9;2;;10;1;1;;6;;9;9;9;9;10;9;9;0;0;10;60152731;2059.193436;0;0;1;2;5;;1;1;1;1;1;1;1;1;2;1;;1;1;;1;;;;;;1;1;;;;;;;;1;1;1;1;;1;;;1;1;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;1;;;
6015275;1;1;1;1;3;2;58;1;3;;;1;;;;;;;2;;2;2;;2;6;;10;8;8;8;8;10;10;8;5;10;60152751;3216.098963;1;2;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;;;;
6015275;2;1;2;2;3;2;31;3;5;;;1;;;;;;;3;;6;1;1;;6;;8;7;1;10;9;8;6;6;6;10;60152751;3216.098963;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;;;;
6015275;3;1;3;3;2;2;9;4;;;;1;;;;;;;2;;4;1;2;;6;;;;;;;;;;;;60152751;3216.098963;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;;;;;1;;;;;;2;;;1;;;1;1;;1;;1;1;;;2;;1;;;;
